Concentration;Replicate;Association;Species;Stabilization;FD
0;1;1;1;30.8272191;3.2438865
0;2;1;1;2.0485763;0.6675055
0;3;1;1;0.1156825;1.0231736
1;1;1;1;22.3223093;0.3433433
1;2;1;1;3.6935898;0.4488272
1;3;1;1;17.0620202;0.3550909
10;1;1;1;32.5036664;0.3161323
10;2;1;1;3.0773148;0.5368122
10;3;1;1;26.8915958;0.2779856
100;1;1;1;12.0603421;1.3380714
100;2;1;1;1.7027703;0.3446777
100;3;1;1;34.6876597;0.5206891
0;1;1;2;8.8753932;0.3082722
0;2;1;2;2.7106678;1.4981149
0;3;1;2;12.6005099;0.9773513
1;1;1;2;1.0676751;2.9125368
1;2;1;2;1.0724330;2.2280289
1;3;1;2;1.1023745;2.8161805
10;1;1;2;1.1036740;3.1632321
10;2;1;2;1.7093334;1.8628488
10;3;1;2;0.9002943;3.5973080
100;1;1;2;5.2105611;0.7473443
100;2;1;2;0.8202572;2.9012615
100;3;1;2;1.7692166;1.9205319
0;1;2;1;0.3123987;4.522534 
0;2;2;1;1.6238968;1.088864
0;3;2;1;3.4310767;1.075253
1;1;2;1;0.9798838;1.990417
1;2;2;1;3.3886830;1.653869
1;3;2;1;1.1508990;1.356244
10;1;2;1;9.6925701;1.060138
10;2;2;1;7.5126329;1.286091
10;3;2;1;7.1018514;1.052610
100;1;2;1;6.6429310;4.315780
100;2;2;1;6.6985948;1.285599
100;3;2;1;5.2521962;2.799324
0;1;2;3;6.0003372;0.2211150
0;2;2;3;1.8478907;0.9183882
0;3;2;3;1.4319133;0.9300135
1;1;2;3;0.9164935;0.5024073
1;2;2;3;0.9243557;0.6046427
1;3;2;3;0.9529656;0.7373305
10;1;2;3;0.4798668;0.9432736
10;2;2;3;0.6444720;0.7775501
10;3;2;3;0.3946945;0.9500197
100;1;2;3;2.8811902;0.2317078
100;2;2;3;0.4132353;0.7778474
100;3;2;3;0.9754838;0.3572291
0;1;3;2;22.111500;1.394171
0;2;3;2;22.216794;1.631244
0;3;3;2;21.237838;1.050900
1;1;3;2;3.850558;5.797162
1;2;3;2;3.950288;3.684869
1;3;3;2;4.467167;3.819428
10;1;3;2;9.120935;3.353462
10;2;3;2;9.076268;2.395793
10;3;3;2;7.101851;3.786561
100;1;3;2;11.639523;3.225374
100;2;3;2;5.070633;3.729859
100;3;3;2;6.452089;5.376190
0;1;3;3;0.7160660;0.7172720
0;2;3;3;0.9014845;0.6130292
0;3;3;3;0.4870093;0.9515652
1;1;3;3;1.1187267;0.1724982
1;2;3;3;0.7170760;0.2713801
1;3;3;3;0.7732146;0.2618193
10;1;3;3;0.4855675;0.2981993
10;2;3;3;0.3871200;0.4173984
10;3;3;3;0.3922467;0.2640919
100;1;3;3;0.6002530;0.3100416
100;2;3;3;0.4280246;0.2681066
100;3;3;3;0.5959299;0.1860053
